agent_id,name,email,agency,region,phone_number
75,Michael Carr,wrightmarcus@example.org,B,Idaho,748.995.1180x6020
38,Steven Moore,raymond82@example.org,A,Oregon,3976855876
33,Eric Hall,fergusonmatthew@example.net,B,Massachusetts,+1-591-526-9861x420
73,Brian Ballard,myerschristina@example.org,C,North Dakota,-3079
80,Craig Campbell,wnielsen@example.net,A,South Carolina,512.341.9062
38,Andre Mccormick,estesmichael@example.com,A,New Mexico,001-297-790-1157x18209
36,Bryan Arnold,michael79@example.org,D,Washington,523.993.5308x422
45,Johnny Barnes,deborahsandoval@example.com,C,Virginia,(298)569-3082
63,Jacob Sherman,gloria77@example.com,B,Minnesota,8356514615
41,William Stanton,joneselizabeth@example.net,C,Kansas,+1-432-862-1482x1186
